"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 21:52:38 UTC 2023","Sun Jan 29 21:52:40 UTC 2023","2006","","Check displaying Telnyx Lookup API use cases","","Check displaying Telnyx Lookup API use cases","Click the ""Learn more"" link of ""Call Tracking"" use case","Click the ""Learn more"" link of ""Call Tracking"" use case",""
"passed","Sun Jan 29 21:52:38 UTC 2023","Sun Jan 29 21:52:43 UTC 2023","5262","","Check ways to fax","","Check ways to fax","Click the ""Explore the docs"" link","Click the ""Explore the docs"" link",""
"passed","Sun Jan 29 21:52:35 UTC 2023","Sun Jan 29 21:52:51 UTC 2023","16172","","Check opening the information pop up windows of the ""Elastic SIP Trunking"" section","","Check opening the information pop up windows of the ""Elastic SIP Trunking"" section","Should click the ""Trunking"" items","Should click the ""Trunking"" items",""
"passed","Sun Jan 29 21:52:43 UTC 2023","Sun Jan 29 21:52:47 UTC 2023","3624","","Check ways to fax","","Check ways to fax","Click the ""Get set up"" link","Click the ""Get set up"" link",""
"passed","Sun Jan 29 21:52:02 UTC 2023","Sun Jan 29 21:52:02 UTC 2023","9","","Check ""Telnyx Network FAQs"" articles","","Check ""Telnyx Network FAQs"" articles","Scroll to the ""Telnyx Network FAQs"" title","Scroll to the ""Telnyx Network FAQs"" title",""
"passed","Sun Jan 29 21:51:58 UTC 2023","Sun Jan 29 21:51:59 UTC 2023","1029","","Check filling ""Report abuse"" form using valid credentials","","Check filling ""Report abuse"" form using valid credentials","Enter the ""Email"" value","Enter the ""Email"" value",""
"passed","Sun Jan 29 21:52:36 UTC 2023","Sun Jan 29 21:52:36 UTC 2023","1","","Check displaying Telnyx Lookup API use cases","","Check displaying Telnyx Lookup API use cases","Scroll to the ""What can you build…"" title","Scroll to the ""What can you build…"" title",""
"passed","Sun Jan 29 21:51:53 UTC 2023","Sun Jan 29 21:51:53 UTC 2023","479","","Check activity the countries phones","","Check activity the countries phones","Click phone number of ""All other countries""","Click phone number of ""All other countries""",""
"passed","Sun Jan 29 21:52:19 UTC 2023","Sun Jan 29 21:52:20 UTC 2023","1003","","Сheck drop down menu appearances","","Сheck drop down menu appearances","Hover the ""Wireless"" tab","Hover the ""Wireless"" tab",""
"passed","Sun Jan 29 21:52:18 UTC 2023","Sun Jan 29 21:52:19 UTC 2023","1003","","Сheck drop down menu appearances","","Сheck drop down menu appearances","Hover the ""International Numbers"" tab","Hover the ""International Numbers"" tab",""
